CO_ID,Name,Year,Quarter,Sector,Current Ratio,Long Term Debt / Captial,Debt / Equity,Gross Margin,Operating Margin,Pre-Tax Profit Margin,Net Profit Margin,Asset Turnover,Inventory Turnover,Receivable Turnover,Days Sales In Receivables,ROE,ROTE,ROA ,ROI,Book Value Per Share,Operating Cash Flow Per Share,Free Case Flow Per Share,Stock Return
1101.TW,台泥,2013,1,Basic Materials,1.171943815834016,0.29442130707435726,0.4172763577278045,0.12954573738700934,0.08404765073237189,0.09707159482603646,0.08292361709338959,0.08838318546637267,2.0683745313185162,2.541007517949242,143.64380956046077,0.013755817414366902,0.015838087454927118,0.007329053429107523,0.02512258672597047,39.371281850358216,0.615911338352,0.6731827159155662,-0.011464985321349055
1101.TW,台泥,2013,2,Basic Materials,1.118428250520514,0.3139175390369567,0.45755074192731227,0.196092532925495,0.1600614771080646,0.16075146221593833,0.132615298178763,0.10477166073034441,2.2874321010591103,3.197516592796366,114.15108863619432,0.027312566260955757,0.03175802191577107,0.013894325028438818,0.04587993732988118,37.70328710503744,1.6331705648151813,1.913097910638548,0.14621416232432163
1101.TW,台泥,2013,3,Basic Materials,1.0471787876947094,0.2616990972544916,0.3544612992904588,0.2343151667300576,0.19632197189482428,0.21650964420409596,0.17752318667529327,0.11068978073221393,2.385870504011114,3.6471489589755026,100.0781717735296,0.03680989073858024,0.04243794402067692,0.019650002607972096,0.07560443949052767,39.32541675492763,1.3999235518546125,1.527473000406075,0.07638080274401479
1101.TW,台泥,2013,4,Basic Materials,1.2470160938385983,0.2707074824861595,0.3711919099471934,0.21147473534667693,0.15808357758010247,0.15467631369509108,0.11961896871636811,0.1174748485428291,2.81979430397297,3.8250995326652824,95.4223535578622,0.025858148653466567,0.029616862763056435,0.014052220232804754,0.05211201407036397,41.606516363426785,2.3023916601589867,2.5973759809222523,-0.02944382478915979
1101.TW,台泥,2014,1,Basic Materials,1.2383782787048268,0.2455049419764561,0.32538972835630575,0.18206665185170046,0.13790210720997392,0.13290971064140158,0.10447714042854929,0.09349107743449925,2.0502751562258545,3.318990049698708,109.97321309629538,0.01763756744648356,0.02010746683852985,0.009767680425940554,0.03939816083527232,42.86228616572683,1.8676878314492005,2.1224516957602155,0.042792818836951164
1101.TW,台泥,2014,2,Basic Materials,1.098195046267233,0.25813748799454544,0.3479586632524808,0.2240497336671241,0.18630914831051126,0.19722355832167446,0.15149579466728103,0.1135848803492655,2.4449013848090644,3.675722200451925,99.3002136981744,0.03273772204487887,0.03762388088765803,0.017207631710700007,0.06823637964445088,39.948358094206725,1.2059482323147173,1.33189266524382,-0.04680854444539217
1101.TW,台泥,2014,3,Basic Materials,1.1337085308071886,0.24073022165682634,0.3170549237217518,0.22175859708047413,0.18422237215506718,0.20257292293675136,0.16396389361605623,0.10648447927569923,2.2968429948864877,3.243499734441093,112.53276703686716,0.032165130754772626,0.0367999180726868,0.017459609831721897,0.07189775077786607,41.55030506536809,1.0026502258464989,1.249403637567755,-0.06847825106596947
1101.TW,台泥,2014,4,Basic Materials,1.4075905418174637,0.27200669723883897,0.37363901042380676,0.20894608471569,0.158258406011531,0.17763314859927248,0.1359413367246527,0.10125292067639532,2.239330814538111,3.5384188021587324,103.15341976402549,0.024870495461541634,0.0282818652788063,0.013764457384024405,0.050496181444487344,43.881354894277926,1.3370310986537777,1.7120102538993336,-0.005834274083377635
1101.TW,台泥,2015,1,Basic Materials,1.3289923069403218,0.2583360447835953,0.34831953604677646,0.13344165351143664,0.07898772312235619,0.06855677541687924,0.045452963884287705,0.07398692886692201,1.8623638909902995,2.9730163116843067,122.7709375712157,0.00600740514129572,0.0068464311197362765,0.00336292520569757,0.012831909917416302,43.93600451159437,1.531387494295708,1.7530616566778414,-0.20681547671827114
1101.TW,台泥,2015,2,Basic Materials,1.211414996691648,0.31245700688932704,0.4544544996025161,0.1567329760902386,0.11673239195436859,0.12973053532251602,0.10913918577461118,0.08334744261416488,2.1516520184576313,3.135261039219575,116.41773856599046,0.01806928436805416,0.021113813543844444,0.009096472023306086,0.030982400292505017,40.8880457185152,1.5098319123961566,1.5529644727923175,-0.0419161281492082
1101.TW,台泥,2015,3,Basic Materials,1.2827627108232214,0.2982860730064817,0.4250821617357424,0.1457387869630433,0.0880126609203193,0.051636055849999835,0.0436178844316307,0.07644172438971271,2.0953547730640745,3.5476587756560023,102.88475388462561,0.006276521807409556,0.007345213809560522,0.003334226300185055,0.011511409229936707,42.695522442470846,1.4929965823134266,1.644698997141496,-0.0747217581892802
1101.TW,台泥,2015,4,Basic Materials,1.3306151157884298,0.30506416927587493,0.4389817818977577,0.18092512068227165,0.12483657884723014,0.11328340059641442,0.09095136822642479,0.08380618785121206,2.2499527184883963,3.5852014670836034,101.80738888766291,0.014366959812753256,0.016811344652598988,0.0076222874509085155,0.02565336504815085,42.11182137882434,1.3602464064618374,1.682319631629685,-0.05460744480031294
1101.TW,台泥,2016,1,Basic Materials,1.2107916163565728,0.27286828797978324,0.37526665866581893,0.08946056084502287,0.02730117029276276,0.015676215541856203,0.005333243211281897,0.06356600624368165,1.9019570407753068,3.1082396766637457,117.42981171637824,0.0006108357757415968,0.0007139018710169706,0.00033901297126741786,0.0012277636286867264,41.91302694977236,1.518957425619944,1.9249787097088198,0.2985866313645203
